-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.013,  0.115
-183.800, 80.199, 0.036,  0.148
-183.800, 80.197, 0.035,  0.181
-183.800, 80.196, 0.037,  0.214
-183.800, 80.194, 0.044,  0.247
-183.800, 80.190, 0.139,  0.280
-183.800, 80.182, 0.265,  0.313
-183.799, 80.169, 0.376,  0.346
-183.799, 80.155, 0.437,  0.379
-183.798, 80.137, 0.529,  0.412
-183.797, 80.118, 0.596,  0.445
-183.797, 80.096, 0.674,  0.478
-183.796, 80.071, 0.725,  0.511
-183.795, 80.045, 0.807,  0.544
-183.794, 80.016, 0.874,  0.577
-183.793, 79.985, 0.928,  0.610
-183.792, 79.953, 0.979,  0.643
-183.791, 79.919, 1.052,  0.676
-183.789, 79.883, 1.100,  0.709
-183.788, 79.845, 1.148,  0.742
-183.787, 79.807, 1.176,  0.775
-183.785, 79.768, 1.199,  0.808
-183.784, 79.728, 1.212,  0.841
-183.782, 79.688, 1.222,  0.874
-183.781, 79.648, 1.226,  0.907
-183.779, 79.608, 1.228,  0.940
-183.777, 79.567, 1.227,  0.973
-183.775, 79.527, 1.225,  1.006
-183.774, 79.487, 1.222,  1.039
-183.772, 79.447, 1.218,  1.072
-183.770, 79.407, 1.214,  1.105
-183.768, 79.368, 1.209,  1.138
-183.766, 79.328, 1.199,  1.171
-183.764, 79.289, 1.182,  1.204
-183.763, 79.250, 1.169,  1.237
-183.761, 79.212, 1.159,  1.270
-183.759, 79.173, 1.151,  1.303
-183.757, 79.135, 1.146,  1.336
-183.755, 79.097, 1.143,  1.369
-183.752, 79.059, 1.142,  1.402
-183.750, 79.021, 1.144,  1.435
-183.748, 78.983, 1.147,  1.468
-183.746, 78.945, 1.152,  1.501
-183.744, 78.906, 1.159,  1.534
-183.742, 78.867, 1.166,  1.567
-183.740, 78.828, 1.174,  1.600
-183.738, 78.789, 1.183,  1.633
-183.736, 78.749, 1.192,  1.666
-183.733, 78.709, 1.201,  1.699
-183.731, 78.669, 1.211,  1.732
